string,string
KEY,DESCRIPTION
ui_pass_001,뒤로가기
ui_pass_002,{0}{1} 남음
ui_pass_003,패스구매하기
ui_pass_004,레벨
ui_pass_005,Lv.{0}
ui_pass_006,{0} / {1}
ui_pass_007,모두받기
ui_pass_008,{0}회 남음
ui_pass_009,아이템 획득!
ui_pass_010,{0}다이아를 사용하여 {1}레벨을 달성합니다.
ui_pass_011,취소
ui_pass_012,확인
ui_pass_013,{0}다이아를 사용하여 패스를 활성화합니다.
pass_mission_001,로그인
pass_mission_002,게임플레이
pass_mission_003,뽑기
pass_mission_004,강화성공
pass_mission_005,강화실패
pass_mission_006,아이템구매
pass_mission_007,아이템판매
pass_mission_008,골드소모
pass_mission_009,다이아소모
pass_mission_010,미션완료
pass_description_001,1차 패스
pass_description_002,2차 패스
pass_description_003,특별 패스
pass_description_004,이벤트 패스
pass_description_005,3차 패스
pass_description_006,4차 패스
for_test,aaaaa
item_description_01,계정 경험치입니다.
item_description_02,패스 경험치입니다.
item_description_03,인게임에서 사용할 수 있는 재화입니다.
item_description_04,현질로 얻는 재화입니다.
item_description_05,캐릭터 001번 입니다. 
item_description_06,캐릭터 002번 입니다.
item_description_07,캐릭터 003번 입니다.
item_description_08,캐릭터 004번 입니다.
item_description_09,캐릭터 005번 입니다.
item_description_10,캐릭터 006번 입니다.
item_description_11,캐릭터 007번 입니다.
item_description_12,캐릭터 008번 입니다.
item_description_13,캐릭터 009번 입니다.
item_description_14,캐릭터 010번 입니다.
item_description_15,아이템 001번 입니다.
item_description_16,아이템 002번 입니다.
item_description_17,아이템 003번 입니다.
item_description_18,아이템 004번 입니다.
item_description_19,아이템 005번 입니다.
item_description_20,아이템 006번 입니다.
item_description_21,아이템 007번 입니다.
item_description_22,아이템 008번 입니다.
item_description_23,아이템 009번 입니다.
item_description_24,아이템 010번 입니다.
item_description_25,아이템 011번 입니다.
item_description_26,아이템 012번 입니다.
item_description_27,아이템 013번 입니다.
item_description_28,아이템 014번 입니다.
